neighborhood,hex_id,lat,lon
Loop,hex_837_941,41.8819,-87.6278
River North,hex_838_941,41.8925,-87.6340
West Loop,hex_836_940,41.8820,-87.6480
South Loop,hex_835_941,41.8560,-87.6260
Lincoln Park,hex_840_942,41.9214,-87.6513
Lakeview,hex_841_942,41.9434,-87.6530
Hyde Park,hex_833_938,41.7948,-87.5900
Pilsen,hex_834_939,41.8567,-87.6690
Logan Square,hex_839_943,41.9230,-87.7080
O'Hare,hex_845_936,41.9742,-87.9073
Wicker Park,hex_839_943,41.9087,-87.6776
Bucktown,hex_839_943,41.9180,-87.6820
Uptown,hex_841_942,41.9663,-87.6590
Rogers Park,hex_842_943,41.9981,-87.6690
Bridgeport,hex_835_939,41.8382,-87.6470
Bronzeville,hex_835_940,41.8160,-87.6180
Garfield Park,hex_834_940,41.8806,-87.7170
Austin,hex_836_939,41.8950,-87.7650
Magnificent Mile,hex_838_941,41.8930,-87.6240
South Shore,hex_834_937,41.7600,-87.5700
Albany Park,hex_840_943,41.9680,-87.7250
Jefferson Park,hex_841_944,41.9450,-87.7600
Andersonville,hex_841_942,41.9780,-87.6680
Edgewater,hex_842_942,41.9830,-87.6600
Evanston,hex_842_945,42.0450,-87.6870
Oak Park,hex_836_938,41.8850,-87.7950
Midway,hex_834_936,41.7860,-87.7420
North Side,hex_841_942,41.9500,-87.6700
South Side,hex_834_938,41.8000,-87.6300
West Side,hex_836_939,41.8800,-87.7000
