street,neighborhood
Clark/Lake,Loop
Clark/Madison,Loop
Clark/Monroe,Loop
Clark/Adams,Loop
Clark/Randolph,Loop
Clark/Kinzie,River North
Clark/Grand,River North
Clark/Division,Lincoln Park
Michigan,Magnificent Mile
State Street,Loop
Wacker,Loop
Lake Street,Loop
Madison,Loop
Monroe,Loop
Jackson,Loop
Adams,Loop
Randolph,Loop
Washington,Loop
Wells,Loop
LaSalle,Loop
Franklin,Loop
Dearborn,Loop
Clark,Loop
Halsted,Wicker Park
Milwaukee,Wicker Park
Division,Wicker Park
North Avenue,Lincoln Park
Lincoln Avenue,Lincoln Park
Western Avenue,Logan Square
Ashland,Pilsen
Damien,Wicker Park
Damen,Wicker Park
Elston,Lincoln Park
Clybourn,Lincoln Park
Racine,Lincoln Park
Sheffield,Lincoln Park
Broadway,Lakeview
Clark Street,Lincoln Park
Broadway,Lakeview
Montrose,Lakeview
Wilson,Uptown
Lawrence,Uptown
Sheridan,Lakeview
Broadway,Lakeview
King Drive,Bronzeville
Cottage Grove,Bronzeville
Stony Island,South Shore
Marquette,South Side
67th,South Side
Pershing,South Side
Roosevelt,South Loop
Cermak,South Loop
Archer,Bridgeport
35th,Sox
Pershing/Morgan,Bridgeport
Jefferson,West Loop
Harrison,West Loop
Van Buren,Loop
Congress,Loop
Ida B. Wells,South Loop
Cortland,Lincoln Park
Kingsbury,River North
Orleans,River North
Wacker Drive,Loop
East Wacker,Loop
Michigan Avenue,Magnificent Mile
Pershing,Bridgeport
Morgan,Bridgeport
Halsted/Division,Wicker Park
Chicago Avenue,River North
Grand Avenue,River North
Foster,Andersonville
Peterson,Edgewater
Devon,Rogers Park
Pulaski,West Side
Kostner,West Side
Cicero,West Side
Kedzie,Pilsen
Archer,Bridgeport
Stevenson Expressway,Bridgeport
