neighborhood,keyword
Dublin — Central,Dublin
Dublin — Central,dublin
Dublin — Central,IE
Dublin — Central,central
Dublin — Central,downtown
Dublin — Central,city centre
Dublin — Central,city center
Dublin — Central,cbd
Dublin — North,north Dublin
Dublin — North,Dublin north
Dublin — North,northern
Dublin — South,south Dublin
Dublin — South,Dublin south
Dublin — South,southern
Dublin — East,east Dublin
Dublin — East,Dublin east
Dublin — East,eastern
Dublin — West,west Dublin
Dublin — West,Dublin west
Dublin — West,western
