hex_id,neighborhood,alert_count,reroute_count,delay_count,city,snapshot_at
hex_840_942,Lincoln Park,5,3,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_837_941,Loop,37,31,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_833_938,Hyde Park,18,15,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_841_942,Lakeview,5,5,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_836_939,West Side,4,3,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_839_943,Wicker Park,30,27,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_835_939,Bridgeport,1,0,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_835_941,South Loop,9,6,1,chicago,2026-05-24T17:39:59.806938+00:00
citywide,citywide,7,3,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_842_945,Evanston,1,0,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_842_943,Rogers Park,2,0,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_834_938,South Side,1,1,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_840_943,Albany Park,1,0,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_834_939,Pilsen,2,0,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_838_941,Magnificent Mile,1,1,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_836_940,West Loop,1,1,0,chicago,2026-05-24T17:39:59.806938+00:00
hex_836_938,Oak Park,2,0,2,chicago,2026-05-24T17:39:59.806938+00:00
hex_834_940,Garfield Park,2,0,0,chicago,2026-05-24T17:39:59.806938+00:00
