city,snapshot_at,station,flight_category,visibility_sm,wind_speed_kt,temperature_c,airport_ops_stress,station_label
boston,2026-05-24T18:30:53.078843+00:00,KBOS,VFR,0.0,5.0,13.3,5.0,Logan International
chicago,2026-05-24T18:30:54.685448+00:00,KMDW,VFR,0.0,10.0,15.0,5.0,Midway International
chicago,2026-05-24T18:30:54.685448+00:00,KORD,VFR,0.0,10.0,15.6,5.0,O'Hare International
dubai,2026-05-24T18:30:57.339894+00:00,OMDB,VFR,0.0,7.0,27.0,5.0,Dubai International
london,2026-05-24T18:30:58.417531+00:00,EGKK,VFR,0.0,5.0,17.0,5.0,Gatwick
london,2026-05-24T18:30:58.417531+00:00,EGLL,VFR,0.0,4.0,17.0,5.0,Heathrow
la,2026-05-24T18:31:00.149753+00:00,KBUR,VFR,0.0,11.0,22.8,5.0,Hollywood Burbank
la,2026-05-24T18:31:00.149753+00:00,KLAX,MVFR,0.0,14.0,18.3,8.0,Los Angeles International
nyc,2026-05-24T18:31:01.218006+00:00,KEWR,MVFR,4.0,8.0,10.6,3.0,Newark Liberty
nyc,2026-05-24T18:31:01.218006+00:00,KJFK,MVFR,5.0,8.0,10.0,3.0,JFK
nyc,2026-05-24T18:31:01.218006+00:00,KLGA,VFR,6.0,7.0,10.0,0.0,LaGuardia
paris,2026-05-24T18:31:03.631159+00:00,LFPG,VFR,0.0,4.0,21.0,5.0,Paris Charles de Gaulle
paris,2026-05-24T18:31:03.631159+00:00,LFPO,VFR,0.0,2.0,17.0,5.0,Paris Orly
singapore,2026-05-24T18:31:04.952464+00:00,WSSS,MVFR,4.35,2.0,28.0,3.0,Changi
sydney,2026-05-24T18:31:05.722246+00:00,YSSY,VFR,0.0,5.0,18.0,5.0,Sydney Kingsford Smith
tokyo,2026-05-24T18:31:06.746247+00:00,RJAA,MVFR,0.0,5.0,17.0,8.0,Narita
tokyo,2026-05-24T18:31:06.746247+00:00,RJTT,VFR,0.0,7.0,18.0,5.0,Haneda
