city,snapshot_at,signal_type,metric,observed,baseline,z_score,severity,message
boston,2026-05-24T18:31:13.195234+00:00,reroute_share_spike,reroute_share,0.0,0.5,-6.25,high,Reroute share 0% vs baseline 50% (z=-6.25)
chicago,2026-05-24T18:31:13.968215+00:00,transit_alert_spike,active_transit_alerts,129.0,6.58,4.53,high,"Transit alert volume 129.0 is above baseline (6.6, z=4.53)"
chicago,2026-05-24T18:31:13.968215+00:00,reroute_share_spike,reroute_share,0.744,0.55,2.43,medium,Reroute share 74% vs baseline 55% (z=2.43)
chicago,2026-05-24T18:31:13.968215+00:00,neighborhood_activity_spike,neighborhood_alert_count,37.0,6.1,3.13,high,Unusual activity in Loop: 37 alerts (z=3.13)
chicago,2026-05-24T18:31:13.968215+00:00,neighborhood_activity_spike,neighborhood_alert_count,29.0,6.1,2.32,medium,Unusual activity in Wicker Park: 29 alerts (z=2.32)
dubai,2026-05-24T18:31:14.746648+00:00,reroute_share_spike,reroute_share,0.0,0.5,-6.25,high,Reroute share 0% vs baseline 50% (z=-6.25)
london,2026-05-24T18:31:15.497252+00:00,reroute_share_spike,reroute_share,0.0,0.5,-6.25,high,Reroute share 0% vs baseline 50% (z=-6.25)
london,2026-05-24T18:31:15.497252+00:00,neighborhood_activity_spike,neighborhood_alert_count,4.0,1.88,2.02,medium,Unusual activity in Westminster: 4 alerts (z=2.02)
la,2026-05-24T18:31:16.169409+00:00,reroute_share_spike,reroute_share,0.0,0.5,-6.25,high,Reroute share 0% vs baseline 50% (z=-6.25)
nyc,2026-05-24T18:31:16.846673+00:00,reroute_share_spike,reroute_share,0.0,0.5,-6.25,high,Reroute share 0% vs baseline 50% (z=-6.25)
paris,2026-05-24T18:31:17.549104+00:00,reroute_share_spike,reroute_share,0.0,0.5,-6.25,high,Reroute share 0% vs baseline 50% (z=-6.25)
singapore,2026-05-24T18:31:18.251529+00:00,reroute_share_spike,reroute_share,0.0,0.5,-6.25,high,Reroute share 0% vs baseline 50% (z=-6.25)
sydney,2026-05-24T18:31:18.949397+00:00,reroute_share_spike,reroute_share,0.0,0.5,-6.25,high,Reroute share 0% vs baseline 50% (z=-6.25)
tokyo,2026-05-24T18:31:19.683559+00:00,reroute_share_spike,reroute_share,0.0,0.5,-6.25,high,Reroute share 0% vs baseline 50% (z=-6.25)
