city,snapshot_at,hex_id,neighborhood,event_category,event_id,event_name,location,start_date,end_date
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,918869,Shooting Permit,,,2026-02-20T01:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,894297,Shooting Permit,,,2025-10-11T02:30:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,878555,Shooting Permit,,,2025-08-01T03:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,888142,Shooting Permit,,,2025-09-13T04:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Queens,Shooting Permit,918500,Shooting Permit,,,2026-02-14T03:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,917658,Shooting Permit,,,2026-02-07T02:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,917316,Shooting Permit,,,2026-02-06T03:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,913905,Shooting Permit,,,2026-01-29T20:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,823837,Shooting Permit,,,2024-12-10T01:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,906519,Shooting Permit,,,2025-12-21T14:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,903701,Shooting Permit,,,2025-12-14T20:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Bronx,Shooting Permit,904687,Shooting Permit,,,2025-12-11T20:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,903540,Shooting Permit,,,2025-12-06T03:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Queens,Shooting Permit,902176,Shooting Permit,,,2025-12-05T01:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Bronx,Shooting Permit,903194,Shooting Permit,,,2025-12-04T01:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,899746,Shooting Permit,,,2025-12-03T04:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,899742,Shooting Permit,,,2025-12-02T04:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Theater Load in and Load Outs,901170,Theater Load in and Load Outs,,,2025-11-19T23:59:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,899619,Shooting Permit,,,2025-11-14T17:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,899544,Shooting Permit,,,2025-11-15T02:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,899626,Shooting Permit,,,2025-11-13T20:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,898594,Shooting Permit,,,2025-11-11T23:59:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,898585,Shooting Permit,,,2025-11-10T12:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,897721,Shooting Permit,,,2025-11-04T01:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,898030,Shooting Permit,,,2025-11-01T23:59:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,895413,Shooting Permit,,,2025-11-04T01:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,897390,Shooting Permit,,,2025-10-31T01:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,897152,Shooting Permit,,,2025-10-30T01:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,897593,Shooting Permit,,,2025-10-30T12:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,895777,Shooting Permit,,,2025-10-25T03:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Queens,Shooting Permit,895561,Shooting Permit,,,2025-10-25T04:30:00.000
