city,icao,station_label,sort_order
amsterdam,EHAM,Amsterdam Schiphol,0
amsterdam,EHRD,Rotterdam The Hague,1
amsterdam,EHEH,Eindhoven,2
athens,LGAV,Athens Eleftherios Venizelos,0
athens,LGTS,Thessaloniki,1
atlanta,KATL,Hartsfield-Jackson,0
atlanta,KPDK,DeKalb-Peachtree,1
atlanta,KFTY,Fulton County,2
auckland,NZAA,Auckland,0
auckland,NZWN,Wellington,1
auckland,NZCH,Christchurch,2
bangalore,VOBL,Kempegowda,0
bangalore,VOCI,Cochin,1
bangalore,VOCL,Calicut,2
bangkok,VTBS,Suvarnabhumi,0
bangkok,VTBD,Don Mueang,1
bangkok,VTSP,Phuket,2
barcelona,LEBL,Barcelona-El Prat,0
barcelona,LEPA,Palma de Mallorca,1
barcelona,LEGE,Girona-Costa Brava,2
beijing,ZBAA,Beijing Capital,0
beijing,ZBAD,Beijing Daxing,1
beijing,ZBTJ,Tianjin,2
berlin,EDDB,Berlin Brandenburg,0
berlin,EDAY,Strausberg,1
bogota,SKBO,El Dorado,0
bogota,SKRG,Medellín,1
boston,KBOS,Logan International,0
boston,KPVD,T.F. Green,1
boston,KMHT,Manchester-Boston Regional,2
boston,KORH,Worcester Regional,3
brussels,EBBR,Brussels,0
brussels,EBLG,Liège,1
brussels,EBCI,Brussels South Charleroi,2
budapest,LHBP,Budapest,0
budapest,LHDC,Debrecen,1
buenos-aires,SAEZ,Ezeiza,0
buenos-aires,SABE,Aeroparque,1
buenos-aires,SADF,San Fernando,2
cairo,HECA,Cairo International,0
cairo,HEBA,Borg El Arab,1
chicago,KORD,O'Hare International,0
chicago,KMDW,Midway International,1
chicago,KGYY,Gary/Chicago International,2
chicago,KPWK,Chicago Executive,3
chicago,KDPA,DuPage,4
chicago,KUGN,Waukegan National,5
chicago,KRFD,Chicago Rockford International,6
copenhagen,EKCH,Copenhagen,0
copenhagen,ESMH,Malmö,1
copenhagen,EKYT,Aarhus,2
dallas,KDFW,Dallas/Fort Worth,0
dallas,KDAL,Dallas Love Field,1
dallas,KAFW,Fort Worth Alliance,2
dallas,KADS,Addison,3
delhi,VIDP,Indira Gandhi,0
delhi,VILK,Lucknow,1
delhi,VIJP,Jaipur,2
denver,KDEN,Denver International,0
denver,KAPA,Centennial,1
denver,KBJC,Rocky Mountain Metropolitan,2
denver,KCOS,Colorado Springs,3
doha,OTHH,Hamad International,0
doha,OTBD,Doha International,1
dubai,OMDB,Dubai International,0
dubai,OMDW,Al Maktoum,1
dubai,OMSJ,Sharjah,2
dublin,EIDW,Dublin,0
dublin,EICK,Cork,1
dublin,EINN,Shannon,2
helsinki,EFHK,Helsinki-Vantaa,0
helsinki,EFTP,Tampere,1
helsinki,EFTU,Turku,2
hong-kong,VHHH,Hong Kong International,0
hong-kong,VMMC,Macau,1
hong-kong,VHSK,Hong Kong Shek Kong,2
houston,KIAH,George Bush Intercontinental,0
houston,KHOU,William P. Hobby,1
houston,KSGR,Sugar Land Regional,2
houston,KEFD,Ellington,3
istanbul,LTFM,Istanbul Airport,0
istanbul,LTFJ,Sabiha Gökçen,1
istanbul,LTBA,Istanbul Atatürk,2
jakarta,WIII,Soekarno-Hatta,0
jakarta,WADD,Bali Ngurah Rai,1
jakarta,WIIH,Halim Perdanakusuma,2
johannesburg,FAOR,O.R. Tambo,0
johannesburg,FALA,Lanseria,1
johannesburg,FAGC,Grand Central,2
kuala-lumpur,WMKK,Kuala Lumpur International,0
kuala-lumpur,WMSA,Sultan Abdul Aziz Shah,1
kuala-lumpur,WMKP,Penang,2
lagos,DNMM,Murtala Muhammed,0
lagos,DNAA,Abuja,1
lima,SPJC,Jorge Chávez,0
lima,SPZO,Cusco,1
lisbon,LPPT,Lisbon,0
lisbon,LPFR,Faro,1
