city,snapshot_at,request_id,request_type,descriptor,status,asset_class,risk_tier,failure_risk_score
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Yard Waste Pick-Up Request,Yard Waste Pick-Up Request,Open,other,routine,3.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,E-Scooter Parking Complaint,E-Scooter Parking Complaint,Open,other,routine,3.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,311 INFORMATION ONLY CALL,311 INFORMATION ONLY CALL,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,311 INFORMATION ONLY CALL,311 INFORMATION ONLY CALL,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,311 INFORMATION ONLY CALL,311 INFORMATION ONLY CALL,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,311 INFORMATION ONLY CALL,311 INFORMATION ONLY CALL,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Report an Injured Animal,Report an Injured Animal,Open,other,routine,3.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,311 INFORMATION ONLY CALL,311 INFORMATION ONLY CALL,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,311 INFORMATION ONLY CALL,311 INFORMATION ONLY CALL,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Cab Feedback,Cab Feedback,Open,other,routine,3.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,311 INFORMATION ONLY CALL,311 INFORMATION ONLY CALL,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,311 INFORMATION ONLY CALL,311 INFORMATION ONLY CALL,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,311 INFORMATION ONLY CALL,311 INFORMATION ONLY CALL,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,311 INFORMATION ONLY CALL,311 INFORMATION ONLY CALL,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,Aircraft Noise Complaint,Aircraft Noise Complaint,Completed,other,routine,1.0
chicago,2026-05-24T17:14:13.363903+00:00,0.0,311 INFORMATION ONLY CALL,311 INFORMATION ONLY CALL,Completed,other,routine,1.0
