city,snapshot_at,hex_id,neighborhood,alert_id,headline,short_description,severity,service,alert_category
chicago,2026-05-25T11:02:16.622299+00:00,hex_840_942,Lincoln Park,93306,Temporary Bus Stop Change,The SB #22 and #24 bus stop mid-block on Clark between Madison and Monroe will be temporarily discontinued. Use Clark/Randolph or Clark/Adams for SB buses.,0.0,,stop_change
chicago,2026-05-25T11:02:16.622299+00:00,hex_837_941,Loop,97115,Temporary Reroute,"EB #7 via Harrison, Jefferson, and Jackson. NB #37 via Van Buren, Clinton, Harrison, Jefferson, and Jackson. WB #7 and SB #37 buses are not affected.",0.0,,reroute
chicago,2026-05-25T11:02:16.622299+00:00,hex_837_941,Loop,98479,Temporary Bus Stop Change,The SB #22 and #24 bus stop on the SW corner at Clark/Lake will be temporarily discontinued.,0.0,,stop_change
chicago,2026-05-25T11:02:16.622299+00:00,hex_833_938,Hyde Park,109401,Temporary Reroute,"#N5 and #67 buses will operate in both directions via 67th, Cottage Grove, Marquette, Stony Island, and 67th.",0.0,,reroute
chicago,2026-05-25T11:02:16.622299+00:00,hex_841_942,Lakeview,109706,Temporary Reroute,"NB #146 and #148 buses will operate via State, Wacker Drive, and East Wacker Place, then resume their normal route on Michigan.",0.0,,reroute
chicago,2026-05-25T11:02:16.622299+00:00,hex_840_942,Lincoln Park,110280,Temporary Reroute,"EB #73 via Cortland, Elston, North, Kingsbury, Clifton, Clybourn, and Racine. WB via Racine, Clybourn, Sheffield, North Avenue, Elston, and Cortland.",0.0,,reroute
chicago,2026-05-25T11:02:16.622299+00:00,hex_833_938,Hyde Park,110324,Temporary Reroute,"EB #66 buses will operate via Chicago, Milwaukee, Grand, Orleans, and Chicago. WB buses will operate via Chicago, Wells, Grand, Milwaukee and Chicago.",0.0,,reroute
chicago,2026-05-25T11:02:16.622299+00:00,hex_836_939,West Side,110415,Temporary Reroute,"#126 buses will operate in both directions via Jackson, Cicero, Madison, Kostner, and Jackson.",0.0,,reroute
chicago,2026-05-25T11:02:16.622299+00:00,hex_837_941,Loop,110419,Temporary Reroute,"NB #125 buses will operate via Jefferson, Washington, and Franklin, then resume their normal route on Orleans.",0.0,,reroute
chicago,2026-05-25T11:02:16.622299+00:00,hex_841_942,Uptown,110566,Temporary Reroute,"SB 11, 49B buses operate via Western, Wilson, Lincoln, Montrose, Western, ending at Western/Eastwood. Buses will not stop at the Brown Line bus terminal.",0.0,,reroute
chicago,2026-05-25T11:02:16.622299+00:00,hex_839_943,Wicker Park,111296,Temporary Reroute,"#8 buses will operate in both directions via Halsted, Division, Elston, Milwaukee and Halsted.",0.0,,reroute
chicago,2026-05-25T11:02:16.622299+00:00,hex_835_939,Bridgeport,111350,Temporary Bus Stop Change,The WB #39 bus stop on the NE corner at Pershing/Morgan will be temporarily relocated to the NW corner at Pershing/Morgan.,0.0,,stop_change
chicago,2026-05-25T11:02:16.622299+00:00,hex_833_938,Hyde Park,112013,Temporary Reroute,"EB #60 buses will operate via Harrison and Jefferson, then resume their normal route on Washington.",0.0,,reroute
chicago,2026-05-25T11:02:16.622299+00:00,hex_835_941,South Loop,112014,Temporary Reroute,"NB #192 buses will operate via Roosevelt, and Jefferson, ending their trips at Jefferson/Washington.",0.0,,reroute
chicago,2026-05-25T11:02:16.622299+00:00,hex_837_941,Loop,112017,Temporary Reroute,"WB #124 buses will operate via Madison and Clinton, on Clinton bw Adams and Quincy. EB via Clinton, Van Buren, Jefferson, and Washington.",0.0,,reroute
chicago,2026-05-25T11:02:16.622299+00:00,hex_837_941,Loop,112018,Temporary Reroute,"NB #157 buses will operate via Taylor, and Jefferson, then resume their normal route on Washington.",0.0,,reroute
chicago,2026-05-25T11:02:16.622299+00:00,hex_837_941,Loop,112148,State/Lake Elevated Station Temporary Closure,"Effective, now, the State/Lake Loop Elevated station is closed for reconstruction into 2029. Please use adjacent stations at Clark/Lake or Washington/Wabash.",0.0,,station
chicago,2026-05-25T11:02:16.622299+00:00,hex_837_941,Loop,112506,State/Lake Elevated Station Temporary Closure,"Effective, now, the State/Lake Loop Elevated station is closed for reconstruction into 2029. Please use adjacent stations at Clark/Lake or Washington/Wabash.",0.0,,station
chicago,2026-05-25T11:02:16.622299+00:00,hex_835_941,South Loop,113486,Temporary Bus Stop Change,The NB #29 bus stop on the SE corner at State/23rd will be temp discontinued. Board/exit NB #29 buses at State/Cermak or State/24th.,0.0,,stop_change
chicago,2026-05-25T11:02:16.622299+00:00,citywide,citywide,113489,Temporary Bus Stop Change,The EB #72 bus stop on the NE corner at North/Taylor will be temporarily relocated to the NW corner.,0.0,,stop_change
